Pillar,Capability,Activity,ActivityDescriptions,ActivityOutcomes,CapabilityDescription,CapabilityOutcome,AssociatedActivities,AssessmentId,AssessmentName,AssessmentDescription,Standard,Control
" Network and Environment","5.4 Micro Segmentation","5.4.4 protect data in transit","Based on the data flow mappings and monitoring, policies are enabled by DoD Organizations to mandate protection of data in transit.
Common use cases such as Coalition Information Sharing, Sharing Across System Boundaries and Protection across Architectural Components are included in protection policies.","Protect Data In Transit During Coalition Information Sharing; Protect Data in Transit Across System High Boundaries; Integrate Data In Transit Protection Across Architecture Components","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized and/or cloud environments. Automation is used to apply policy changes through programmatic (e.g., API) approaches. Lastly where possible organizations will utilize host-level process micro segmentation.","DoD organizations define and document network segmentation based on identity and / or application access in their virtualized cloud environments","* Implement Micro segmentation
* Application & Device Micro segmentation
* Process Micro segmentation
* Protect Data In Transit","564feb30-bf6a-4854-b4bb-0d2d2d1e6c66","Web Application Firewall (WAF) should be enabled for Application Gateway","Deploy Azure Web Application Firewall (WAF) in front of public facing web applications for additional inspection of incoming traffic. Web Application Firewall (WAF) provides centralized protection of your web applications from common exploits and vulnerabilities such as SQL injections, Cross-Site Scripting, local and remote file executions. You can also restrict access to your web applications by countries, IP address ranges, and other http(s) parameters via custom rules.","NIST SP 800-53 Rev. 5","SC-13"
" Automation and Orchestration","6.4 Artificial Intelligence","6.4.2 ai driven by analytics decides a&o modifications","DoD Organizations utilizing existing machine learning functions implement and use AI technology such as neural networks to drive automation and orchestration decisions. Decision making is moved to AI as much as possible freeing up human staff for other efforts.
Utilizing historical patterns, AI will make anticipatory changes in the
environment to better reduce risk.","AI is able to make changes to automated workflow activities","DoD organizations employ AI to execute (and enhance execution of) critical functions - particularly risk and access determinations and environmental analysis.","DoD organizations employ AI to execute (and enhance execution of) critical functions - particularly risk and access determinations and environmental
analysis","* Implement AI automation tools
* AI Driven by Analytics decides A&O modifications","564feb30-bf6a-4854-b4bb-0d2d2d1e6c66","Web Application Firewall (WAF) should be enabled for Application Gateway","Deploy Azure Web Application Firewall (WAF) in front of public facing web applications for additional inspection of incoming traffic. Web Application Firewall (WAF) provides centralized protection of your web applications from common exploits and vulnerabilities such as SQL injections, Cross-Site Scripting, local and remote file executions. You can also restrict access to your web applications by countries, IP address ranges, and other http(s) parameters via custom rules.","FedRAMP High","SC-7(3)"
" Visibility and Analytics","7.6 Automated Dynamic Policies","7.6.2 ai-enabled dynamic access control","DoD Organizations utilize previous rule based dynamic access to teach Artificial Intelligence (AI)/Machine Learning (ML) algorithms to make access decision to various resources. The ?AI-enabled Network Access? activity algorithms are updated to enable broader decision making to
all DAAS.","JIT/JEA are integrated with AI; Access is AI driven based on environment analytics","DoD Organization ML & AI solutions dynamically and automatically update security profiles and device configuration through continuous security posture monitoring, risk and confidence scoring, and automated patch management.","CNDSPs/SOCs dynamically and automatically update security profiles and device configuration through continuous security posture monitoring, risk and confidence scoring, and automated patch
management","* AI-enabled Network Access
* AI-enabled Dynamic Access Control","45e05259-1eb5-4f70-9574-baf73e9d219b","Azure Machine Learning workspaces should use private link","Azure Private Link lets you connect your virtual network to Azure services without a public IP address at the source or destination. The Private Link platform handles the connectivity between the consumer and services over the Azure backbone network. By mapping private endpoints to Azure Machine Learning workspaces, data leakage risks are reduced. Learn more about private links at: https://docs.microsoft.com/azure/machine-learning/how-to-configure-private-link.","NIST SP 800-53 Rev. 5","SI-4"
" Device","2.6 Unified Endpoint Management (UEM) &
Mobile Device Management (MDM)","2.6.2 enterprise device management pt1","DoD Organizations migrate the manual device inventory to an automated approach using the Unified Endpoint and Device Management solution. Approved devices are able to be managed regardless of location. Devices part of critical services are mandated to be managed by the Unified Endpoint and Device Management solution
supporting automation.","Manual inventory is integrated with an automated management solution for critical services; Enable ZT Device Management (from any location with or without remote access)","DoD organizations establish a centralized UEM solution that provides the choices of agent and/or agentless management of computer and mobile devices to a single console regardless of device location. DoD-issued devices can be remotely managed and security policies are enforced.","DoD organizations establish a centralized UEM tool that provides the choices of agent and/or agentless management of computer and mobile devices to a single console. DoD-issued mobile devices are remotely managed and security policies are enforced.","* Implement UEDM or equivalent Tools
* Enterprise Device Management Pt1
* Enterprise Device Management Pt2","4da35fc9-c9e7-4960-aec9-797fe7d9051d","Azure Defender for servers should be enabled","Azure Defender for servers provides real-time threat protection for server workloads and generates hardening recommendations as well as alerts about suspicious activities.","NIST SP 800-53 Rev. 5","AC-16"
" Device","2.6 Unified Endpoint Management (UEM) &
Mobile Device Management (MDM)","2.6.1 implement uedm or equivalent tools","DoD Organizations will work closely with the ?Implement Asset, Vulnerability, and Patch Management tools? activity to procure and implement and Unified Endpoint and Device Management (UEDM) solution ensuring that requirements are integrated with the procurement process. Once a solution is procured the UEDM team(s) ensure that critical ZT target functionalities such as minimum compliance, asset management, and API support are in place.","Components can confirm if devices meet minimum compliance standards or not; Components have asset management system(s) for user devices (phones, desktops, laptops) that maintains IT compliance, which is reported up to DoD enterprise; Components asset management systems can programmatically, i.e., API, provide device compliance status and if it meets minimum standards","DoD organizations establish a centralized UEM solution that provides the choices of agent and/or agentless management of computer and mobile devices to a single console regardless of device location. DoD-issued devices can be remotely managed and security policies are enforced.","DoD organizations establish a centralized UEM tool that provides the choices of agent and/or agentless management of computer and mobile devices to a single console. DoD-issued mobile devices are remotely managed and security policies are enforced.","* Implement UEDM or equivalent Tools
* Enterprise Device Management Pt1
* Enterprise Device Management Pt2","4da35fc9-c9e7-4960-aec9-797fe7d9051d","Azure Defender for servers should be enabled","Azure Defender for servers provides real-time threat protection for server workloads and generates hardening recommendations as well as alerts about suspicious activities.","NIST SP 800-53 Rev. 5","AC-16"
" User","1.7 Least Privileged Access","1.7.1 deny user by default policy","DoD Organizations audit internal user and group usage for permissions and revoke permissions when possible. This activity includes the revocation and/or decommission of excess permissions and access for application/service-based identities and groups. Where possible static privileged users are decommissioned or reduced permissions preparing for future rule/dynamic based access.","Applications updated to deny by default to functions/data requiring specific roles/attributes for access; Reduced default permissions levels are implemented; Applications/services have reviewed/audited all privileged users and removed those users who do not need that level of access; Applications' identify functions and data requiring specific roles/attributes for access","DoD organizations govern access to DAAS using the absolute minimum access required to perform routine, legitimate tasks or activities. DoD Application Owners identify the necessary roles and attributes for standard and privileged user access. Privileged access for all DoD organization DAAS is audited and removed when unneeded.","DoD organizations govern access to DAAS using the absolute minimum access required to perform routine, legitimate tasks or activities","* Deny User by Default Policy","22730e10-96f6-4aac-ad84-9383d35b5917","Management ports should be closed on your virtual machines","Open remote management ports are exposing your VM to a high level of risk from Internet-based attacks. These attacks attempt to brute force credentials to gain admin access to the machine.","NIST SP 800-53 Rev. 5","AC-2"
" Device","2.4 Remote Access","2.4.1 deny device by default policy","DoD Organizations block all unmanaged remote and local device access to resources. Compliant managed devices are provided risk based methodical access following ZTA target level concepts.","Components can block device access by default to resources (apps/data) and explicitly allow compliant devices per policy; Remote Access is enabled following a
""deny device by default policy"" approach","DoD organizations audit existing device access processes and tooling to set a least privilege baseline. In phase 2 this access is expanded to cover basic BYOD and IOT support using the Enterprise IDP for approved applications. The final phases expand coverage to include all BYOD and IOT devices for services  using the approved set of device attributes.","DoD organizations establish policies to allow authorized users and devices access to the network or a device from a geographical distance through a network connection","* Deny Device by Default Policy
* Managed and Limited BYOD & IOT Support
* Managed and Full BYOD & IOT Support Pt1
* Managed and Full BYOD & IOT Support Pt2","b0f33259-77d7-4c9e-aac6-3aabcfae693c","Management ports of virtual machines should be protected with just-in-time network access control","Possible network Just In Time (JIT) access will be monitored by Azure Security Center as recommendations","NIST SP 800-53 Rev. 5","AC-6"
" User","1.4 Privileged Access Management (PAM)","1.4.4 real time approvals & jit/jea analytics pt2","DoD Organizations integrate User & Entity Behavior Analytics (UEBA) and User Activity Monitoring (UAM) solutions with the Privileged Access Management (PAM) solution providing user pattern analytics for decision making.","UEBA or similar analytic system integrated with PAM tools for JIT/JEA account approvals","The capability focuses on removal of permanent administrator/elevated privileges by first creating a Privileged Account Management (PAM) system and migrating privileged users to it. The capability is then expanded upon by using automation with privilege escalation approvals and feeding analytics into the system for anomaly detection.","DoD organizations control, monitor, secure, and audit privileged identities (e.g., through password vaulting, JIT/JEA with PAWS) across their IT environments","* Implement System and Migrate Privileged Users Pt1
* Implement System and Migrate Privileged Users Pt2
* Real time Approvals & JIT/JEA Analytics Pt1
* Real time Approvals & JIT/JEA Analytics Pt2","b0f33259-77d7-4c9e-aac6-3aabcfae693c","Management ports of virtual machines should be protected with just-in-time network access control","Possible network Just In Time (JIT) access will be monitored by Azure Security Center as recommendations","NIST SP 800-53 Rev. 5","AC-2"
" Device","2.4 Remote Access","2.4.1 deny device by default policy","DoD Organizations block all unmanaged remote and local device access to resources. Compliant managed devices are provided risk based methodical access following ZTA target level concepts.","Components can block device access by default to resources (apps/data) and explicitly allow compliant devices per policy; Remote Access is enabled following a
""deny device by default policy"" approach","DoD organizations audit existing device access processes and tooling to set a least privilege baseline. In phase 2 this access is expanded to cover basic BYOD and IOT support using the Enterprise IDP for approved applications. The final phases expand coverage to include all BYOD and IOT devices for services  using the approved set of device attributes.","DoD organizations establish policies to allow authorized users and devices access to the network or a device from a geographical distance through a network connection","* Deny Device by Default Policy
* Managed and Limited BYOD & IOT Support
* Managed and Full BYOD & IOT Support Pt1
* Managed and Full BYOD & IOT Support Pt2","bb91dfba-c30d-4263-9add-9c2384e659a6","Non-internet-facing virtual machines should be protected with network security groups","Protect your non-internet-facing virtual machines from potential threats by restricting access with network security groups (NSG). Learn more about controlling traffic with NSGs at https://aka.ms/nsg-doc","NIST SP 800-53 Rev. 5","AC-6"
" Automation and Orchestration","6.6 API Standardization","6.6.3 standardized api calls & schemas pt2","DoD Organizations complete the migration to the new programmatic interface standard. Tools marked for decommission in the previous activity are retired and functions are migrated to modernized tools.
Approved schemas are adopted based on the DoD Enterprise
standard/requirements.","All calls and schemas are implemented","DoD establishes and enforces enterprise-wide programmatic interface (e.g., API ) standards; all non-compliant APIs are identified and replaced.","DoD establishes and enforces enterprise-wide API standards; all non-compliant APIs are identified and replaced","* Tool Compliance Analysis
* Standardized API Calls & Schemas Pt1
* Standardized API Calls & Schemas Pt2","ef619a2c-cc4d-4d03-b2ba-8c94a834d85b","API Management services should use a virtual network","Azure Virtual Network deployment provides enhanced security, isolation and allows you to place your API Management service in a non-internet routable network that you control access to. These networks can then be connected to your on-premises networks using various VPN technologies, which enables access to your backend services within the network and/or on-premises. The developer portal and API gateway, can be configured to be accessible either from the Internet or only within the virtual network.","NIST SP 800-53 Rev. 4","SC-7"
" User","1.2 Conditional User Access","1.2.1 implement app based permissions per enterprise","The DoD enterprise working with the Organizations establishes a basic set of user attributes for authentication and authorization. These are integrated with the ?Enterprise Identity Life-Cycle Management Pt1? activity process for a complete enterprise standard. The enterprise Identity, Credential and Access Management (ICAM) solution is enabled for self-service functionality for adding/updating attributes within the solution. Remining Privileged Access Management (PAM) activities are fully migrated to PAM solution.","Enterprise roles/attributes needed for user authorization to application functions and/or data have been registered with enterprise ICAM; DoD Enterprise ICAM has self- service attribute/role registration service that enables application owners to add attributes or use existing enterprise attributes; Privileged activities are fully migrated to PAM","Through maturity levels Conditional Access works to create a dynamic level of access for users in the environment. This starts with traditional role based access controls across a federate ICAM, expands to be application focused roles and ultimately utilizes enterprise attributes to provide dynamic access rules.","Eventually, organizations control user, device, and non-user entity DAAS access through dynamically changing user risk profiles and fine grained access control to include the use of user risk assessments","* Implement App Based Permissions per Enterprise
* Rule Based Dynamic Access Pt1
* Rule Based Dynamic Access Pt2
* Enterprise Gov't roles and Permissions Pt1
* Enterprise Gov't roles and Permissions Pt2","2b9ad585-36bc-4615-b300-fd4435808332","App Service apps should use managed identity","Use a managed identity for enhanced authentication security","NIST SP 800-53 Rev. 5","AC-5"
