ActivityNumber,ActivityName,TargetLevel,Coverage,NISTControl,NISTControlName,TTP,TTPName
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-24,Access Control Decisions,T1053,Scheduled Task/Job
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-24,Access Control Decisions,T1053.002,At (Windows)
1.2.2,Rule Based Dynamic Access Pt1,Target Level ZT,mitigates,AC-24,Access Control Decisions,T1053.005,Scheduled Task
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1020.001,Traffic Duplication
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1040,Network Sniffing
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1070,Indicator Removal on Host
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1070.001,Clear Windows Event Logs
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1070.002,Clear Linux or Mac System Logs
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1070.008,Clear Mailbox Data
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1114,Email Collection
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1114.001,Local Email Collection
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1114.002,Remote Email Collection
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1114.003,Email Forwarding Rule
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1119,Automated Collection
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1530,Data from Cloud Storage Object
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1550.001,Application Access Token
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1552,Unsecured Credentials
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1552.004,Private Keys
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1557,Adversary-in-the-Middle
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1557.002,ARP Cache Poisoning
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1558,Steal or Forge Kerberos Tickets
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1558.002,Silver Ticket
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1558.003,Kerberoasting
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1558.004,AS-REP Roasting
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1565,Data Manipulation
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1565.001,Stored Data Manipulation
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1565.002,Transmitted Data Manipulation
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1602,Data from Configuration Repository
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1602.001,SNMP (MIB Dump)
2.4.2,Managed and Limited BYOD & IOT Support,Target Level ZT,mitigates,AC-19,Access Control For Mobile Devices,T1602.002,Network Device Configuration Dump
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1003,OS Credential Dumping
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1003.001,LSASS Memory
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1003.002,Security Account Manager
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1003.003,NTDS
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1003.004,LSA Secrets
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1003.005,Cached Domain Credentials
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1003.006,DCSync
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1003.007,Proc Filesystem
2.2.1,Implement C2C/Compliance Based Network Authorization Pt1,Target Level ZT,mitigates,AC-3,Access Enforcement,T1003.008,/etc/passwd and /etc/shadow
